설치하다	To install
고정 관념	Stereotype
입구	Entrance
거꾸호	Lake keiko
한마디하다	To say a word
돌다	To turn
움직이다	To move
위치	Local situation
고정 관념을 깨다	To break one's stereotypes
취지	Intention, effect, falsely claim
관점	Idea
사고방식	Way of thinking
세계관	World view
문제의식	Problem conciousness
선입견	Prejudice
발상의 전환	Change in one's thinking
영양	Nutrition
사회 진출	To enter society
늘다	To increase
집안 살림	House keeping
육아	Parenting
전담하다	To devote oneself to
몹시	Terribly
까다롭다	To be fussy, picky
태양	Sun
주위	Surroundings
밝혀지다	To come to light
바람직하다	To be advisable, desirable
소년 소녀 가장	Child bread winner
공부방	Study room
배려하다	To be considerate
자기중심적이다	To be self-centred
환영을 받다	To receive a welcome
대수롭지 않다	To be trivial
꺼내다	To pull it out
세우다	To stand
애를 쓰다	To work hard
톡톡 치다	Lightly pat
시각	Vision
사물	Item
현상	Phenomenon
측면	Aspect
실체	Substance
형태	Form
대상	Target
지식	Knowledge
평면	Flat surface
삼차원	3D
훈련되다	To be trained
바르게 이해하다	To understand correctly
사소하다	To be petty, insignificant
발견	Discovery
발명	Invention
하찮다	To be insignificant
법하다	To be lawful
방해가 되다	To interfere
조직	Group, organisation
매사	Everything
대륙	Continent
항해하다	To sail
창	Spear
겨누다	To aim at
원시인	Primitive man
다각적으로 보다	Take a multilateral view
상식	Common knowledge
대기업	Conglomerate
강연	Lecture
단순직	Simple
전문직	Professional
연봉	Salary
고객	Customer
관리하다	To supervise, administrate
대우	Treatment
나르다	To carry
요새	These days
정장	Suit
복장을 하다	To dress up
부회장	Vice chairman
비서	Secretary
길흉	Good and bad luck
상벌	Reward and punishment
선악	Good and evil
승패	Victory and defeat
시비	Right and wrong
우열	Superiority and inferiority
진위	Truth and lies
찬반	Pros and cons
희비	Happiness and sadness
호불호	Good and not good
구청	Borough office
시겟바늘	Hands of a clock
