대표적이다	To be representative
지방	Fat
고소하다	To have a nutty flavour
구수하다	To smell, taste good
담백하다	To be light, clean
얼큰하다	To be spicy, hot
싱겁다	To be bland
깔끔하다	To be neat and tidy
매콤하다	To be spicy and tasty
새콤하다	To be sour and tasty
달콤하다	To be sweet and tasty
강의	Lecture
일부	Portion
특징	Characteristic
양념	Seasoning
국물	Broth
발달하다	To develop
밥상	Dining table
올리다	To raise, post
재료	Ingredients
밀가루	Wheat flour
기름에 부치다	To fry in oil
명절	Holiday
제사	Ancestral rites
껍질을 벗기다	To take off rind, skin, peel
채를 썰다	To finely shred vegetables
다지다	To mince, finely chop
절이다	To preserve
재우다	To season, marinate
농약	Pesticides
묻다	To stain, smear
둥글다	To be round
모양	Shape
굽다	To roast
끓다	To boil
데치다	To blanch
무치다	To season
볶다	To stir-fry
부치다	To fry, gridle
삶다	To boil 2
조리다	To simmer
튀기다	To fry
얹다	To place, lay
비비다	To mix
갖가지	Various kinds of
어우러지다	To mix, mingle
일품이다	To be unique
지역	Area
특색	Peculiarity
특산물	Specialty
골고루	Evenly, equally
살짝	Slightly
다듬다	To trim
길이	Length
떼다	To take off
꺼내다	To pull out, take out
짜다	To be salty
두께	Thickness
섞다	To mix 2
곁들이다	To garnish
스며들다	To permeate
잘다	To be small
나물	Seasoned vegtables
콩나물	Soybean sprouts
숙주나물	Green soybean sprouts
육회	Korean beef tartare
진간장	Nicely aged soy sauce
깨소금	Ground sesame mixed with salt
참기름	Sesame oil
도라지	Balloon flower
고사리	Bracken
억세다	To be tough
줄기	Stem
시금치	Spinach
뿌리	Root
물기가 있다	To be moist
느타리버섯	Oyster mushroom
가닥	Strand
호박	Zucchini
반달 모양	Half moon shape
기름을 드리다	To grease up
달구어지다	To heat up
간이 배다	To be well seasoned
달갈 지단	Fried egg for garnish
칼로리	Calorie
건강식	Healthy diet
독특하다	To be unique 2
버무리다	To mix smth with smth
마침	Just, just in time
제대로	Properly
맛을 내다	To produce flavour
푸짐하다	To be generous
실란트로	Cillantro
오코코미야키	Okochayaki
야키소바	Yakibawa
빈대떡	Korean sweet pancake
마요네즈	Mayonnaise
마파두부	Mapu Tofu
구이	Meat roasted, fish baked with seasoning
가늘다	To be thin, splender
간	Season with salt
고기를 재우다	To marinate or season meat
고명	Garnish
느끼하다	To be greasy
단	Bunch
달구다	To heat something up
도화지	Drawing paper
두르다	To spread around
물기	Moisture
반족	Dough
배다	To soak
보쌈김치	Bundled kimchi
선호도	Preference (level)
설렁탕	Korean beef soup with rice
시원하다	To have a hearty flavour
옥돔	Tile fish
전	Korean Pancake
퍼	Vietnamese rice noodle
해산물	Seafood
후춧가루	Ground Pepper
예열하다	To pre-heat
덮개를 씌우다 	Put a lid on a pan
으깨다	To mash
