지폐	Paper money
인물	Character
그려지다	To be drawn
유일하다	To be unique
존경하다	To respect
예금 통장	Bank book
군인	Military person
출신이다	To come from
모자	Mother and son
장군	General
진기록	New record
열중하다	To be absorbed in
힘쓰다	To make an effort
소중하게 여기다	To treasure something
모범을 보이다	To set an example
잔소리하다	To nitpick
일상생활	Daily life
효과적이다	To be effective
장애인	Disabled person
복지제도	Welfare system
마련하다	To prepare
사원을 채용하다	To hire a temple
책임감	Sense of responsibility
지도자	Leader
소수	Minority
엄격하다	To be strict
강직하다	To be upright
고지식하다	To be knowledgeable
검소하다	To be frugal
융통성이 있다	To be flexible
지혜롭다	To be wise
유능하다	To be competent, capable
자상하다	To be considerate, attentive
관대하다	To be generous
마음이 넓다	To have a big heart
너그럽다	To be generous 2
용서하다	To forgive
노인	Aged person
규칙	Rule
강조하다	To emphasize
직원	Staff
잘못	Fault
부정한 일을 하다	To do something dishonest
세심하다	To be meticulous
챙기다	To pack up
학자	Scholar
학문 연구	Academic studies
궁금하다	To be curious
독서	Reading
꾸벅꾸벅 졸다	To doze off
덮다	To cover
은혜	Grace
감동하다	To impress
한참	For a long time
달려오다	To come running, dash
상대방	The other party
일러바치다	To snitch
고개를 끄덕이다	To nod one's head
옳다	To be right
맞다	To be right 2
어이가 없다	To be absured
그르다	To be false
자식	Descendant
근무	Work
금지되다	To be banned
어기다	To violate
심부름꾼	Messenger
뜻대로	According to one's will
틀리다	To be wrong
인품	Personality
진주 목걸이	Pearl necklace
즉위하다	To ascend to the throne
집현전	Jiphyeonjeon
고단하다	To be tired, weary, exhausted
하녀	Maid
숙부	Uncle
면회	Visit
지휘관	Commander
직속상관	Immediate superior
거문고	Korean zither
진영	Camp
뜰	Yard, garden
오동나무	Foxglove tree
베다	To cut down, fell
전함	Battleship
사사로이	Personally
일화	Anecdote
주제	Topic
흥미롭다	To be interesting
철학자	Philosopher
정확하게	Accurately
시계를 맞추다	To set clocks
해석하다	Interpretation
의견의 엇갈리다	To disagree with each other
도망시키다	To run away
공정하다	To be fair
법질서	Legal form
붕괴되다	To collapse
무너지다	To crumble
요약하다	To summarize
얽히다	To get entangled
에디슨	Thomas A. Edison
닭장	Chicken coup
계란을 품다	To incubate eggs
칸트	Kant
간혹	Once in a while
고대 그리스	Ancient Greece
소크라테스	Socrates
감옥에 갇히다	To be imprisoned
악법	Unjust law
독배	Poisoned chalice
명확하다	To be obvious
미흡하다	To be inadequate
바람직하다	To be desirable
애매모호하다	To be ambiguous
완벽하다	To be perfect
적절하다	To be appropriate
정당하다	To be right
정밀하다	To be precise
객관적이다	To be objective
주관적이다	To be subjective
