국화	national flower 國花
태극기	the national flag of Korea 太極旗
태극	the ying-yang symbol 太極
모서리	a corner / edge (not 귀퉁이)
괘	a trigram (shapes on the Korean flag) 卦
존귀	nobility 尊貴 (represented by the red on the 태극기)
희망	hope 希望 (represented by the blue on the 태극기)
조화롭다	harmonious (characterised by harmony) 調和
화합	harmony, unity 和合 (화목하게 어울림) (not ...목, 조...)
국경일	a National holiday 國慶日
국가기념일	a National memorial day 國家紀念日
달다	to put up, hoist up (커튼, 깃발 등)
애국가	the Korean national anthem 愛國歌
절	a passage, paragraph / a verse (of a song) 節
안익태	애국가의 작곡자 (1906 - 1965)
경례하다	to salute (국기에 대하여...) 敬禮
정의롭다	to be righteous (characterised by righteousness, justice) 正義   
충성하다	[국가에, 주인에, 회사에] to be loyal to, devoted to 忠誠
무궁하다	to be eternal, infinite 無窮
영광	honor 榮光
무궁화	한국의 국화 (Rose of Sharon) lit eternal flower 無窮花
문장	a crest (badge) / coat of arms
창제하다	to invent (전에 없던 것을 처음으로 만들거나 제정하다) 創製 (seemingly used primarily about the invention of 한글)
결합하다	[물체의] to combine / [남녀의] to unite (a couple) 結合
발음 기관	vocal organs 發音器官
백성	[왕정 국가의] subjects / [대중] the common people, the public 百姓
문맹	illiteracy 文盲
퇴치하다	to eradicate (a problem) 退治
제국	empire 帝國
일제	the Japanese empire 日帝
저항하다	to resist (an enemy, police etc) 抵抗 (not 대...)
순국선열	patriotic martyrs 殉國先烈
헌법	the Constitution (of a country) 憲法
삼일절	Independence Movement Day (3월 1일) 三一節 
현충일	Memorial Day (remembering patriotic martyrs) (6월 6일) 顯忠日
제헌절	Constitution Day (7월 17일) 制憲節
광복절	Independence (from Japan, 1945) Day (8월 15일) 光復節
개천절	National Foundation Day (of the Korean peninsular) (10월 3일) 開天節
한글날	Hangeul Day (10월 9일)
전후	around (a time, age etc) 前後 (not 안팎, 무렵, 정도)
자취	living apart from one's family 自炊
친족	relative 親族 (not ...척)
은퇴하다	to retire (from all work) 隱退
대략	roughly, approximately 大略 (not ...충)
그리	not that, not very (used only in negative sentences)
대체로	mostly, generally 大體-
다소	slightly, somewhat 多少
격차	a gap, difference (in wages, between rich and poor etc) 格差
기혼자	a married person 旣婚者
관공서	public, government office 官公署
명절	(national) holiday (추석 / 설날 only) 名節
통신	(method of) communication (e.g. 우편·전화) 通信
수단	means, way, method  (목적을 이루기 위한 방법·도구) 手段
간격	interval (시간적) / space (공간적) 間隔
전광판	electronic display board 電光板
경로	a course, route (지나는 길) 經路
단말기	T-money card reader (on bus, subway) 端末機
망	a net (also used as a suffix to mean network e.g. 도로__. 통신__) 網
보급되다	to be propagated, disseminated (something physical in wide use) e.g. the internet PASSIVE 普及
습득하다	to acquire knowledge, learn 習得 
매체	media / a medium (대중__, 방송__) 媒體
교양이 있다	to have culture, sophistication, refinement 敎養이...
두루	widely, extensively (빠짐없이 골고루)
수신료	licence fee (TV, radio) 手數料
다루다	(사람을 ) to treat, handle / (문제·일 등을) to cover /   (물건·상품 등을) to handle
일간지	daily newspaper 日刊紙
정기	regular (time) 定期
접속하다	to access (particularly the internet) 接續
체계	a system 體系 (not 제도)
정년	retirement age 停年
누리다	to enjoy (especially relating to life & health - 건강을, 삶을) 
사회 보험	social insurance (mandatory to register, 4 types) 社會保險
건강 보험	[**사회보험 4대**] health insurance 健康保險
고용 보험	[**사회보험 4대**] work [unemployment] insurance 雇傭保險
국민 연금	[**사회보험 4대**] national pension 國民年金
산업 재해 보상 보험	[**사회보험 4대**] industrial accident compensation insurance 産業災害補償保險
금전	money (not 돈, ...화) 金錢
공공부조	public aid / 'benefits' 公共扶助
최저생계비	the minimum cost of living 最低生計費
재활	rehabilitation 再活
훈련	training 訓練 (not ...수, 교육)
배우자	spouse, partner 配偶者
미성년	minor (under age) 未成年
산모	the mother (in relation to pregnancy) 産母
학업	study (e.g. my studies) 學業 (not ...문)
법무부	the Justice Department 法務部
근로자	a worker 勤勞者
농촌	farming village 農村
도시화	urbanisation 都市化
산업화	industrialisation 産業化
수도권	the capital area (서울, 경기도) 首都圈
확충하다	to expand, enlarge the supply of something (e.g. 시설을, 도로망을, 예산을)  (not ...대, ...장) 擴充
정비하다	(자동차·시설·설비 등을) to maintain, repair, service 整備
하수	sewage 下水
녹지	(도시의) green belt 綠地
확보하다	to secure (ensure that something is available) 確保
전원	the countryside 田園 (not 시골)
농가	a farm house / farming family 農家
비중	(relative) importance 比重 (not ...요)
농사를 짓다	to farm 農事를...
보살피다	to look after, take care of (not 돌보다)
귀농하다	to return to farming 歸農
귀촌하다	to return to the countryside 歸村
급증하다	to increase rapidly (짧은 기간 안에 갑자기 늘어나다.) 急增
추세	a trend (social, economic etc) (어떤 일이나 현상이 일정한 방향으로 나아가는 경향) 趨勢
의원	(hospital) clinic 醫院
보건소	public health centre 保健所
물리치료	physical therapy 物理治療
세밀하다	to be detailed 細密 (not 상..., 자..., 정...)
의뢰서	a written letter of request 依賴書
응급처치	first aid (emergency handling) 應急處置
면역	immunity (medical) 免疫
주입하다	to inject, put something into / to implant (지식, 사상) 注入
액체	liquid, fluid 液體
재난	a disaster, catastrophe (NOT like a natural disaster) 災難
파손되다	to be damaged ( 깨어져 못 쓰게 되다) PASSIVE 破損
표지판	a sign (like a roadsign) 標識板
노후되다	to be worn out, time-worn PASSIVE 老朽
여객선	passenger ship 旅客船
주도하다	to lead, take the lead (set example for others to follow) (중심이 되어 어떤 일을 이끌다) 主導
전개하다	(경치가) to unfold, spread out / (사건을, 이야기를) to develop / (운동을)  to develop 展開
대피	evacuation 待避
신문고	a system whereby citizens can report problems / issues to the authorities 申聞鼓
불길하다	to be unlucky, ominous 不吉
