간호하다	to nurse
덮다	to cover something with something
돌봐주다	to take care of
돌아다니다	to get around
떨다	to tremble
물수건	a wet towel
방안	the inside of the room
-분	an amount
사이좋다	to be on good terms with
설사약	a diarrhea medicine
소화제	a digestive medicine
수면제	a sleeping pill
식후	after meals
얇다	to be thin
어지럽다	to be dizzy
예방주사	vaccination
이리로	this way
점점	gradually
죽	the rice porridge
진통제	a painkiller
처방전	a prescription
초인종	a doorbell
코피	the nosebleed
통증	the pain
해열제	an antifebrile
환절기	a change of season
기침이 나다	to have a cough
눈물이 나다	to shed tear; to get teary eyed
땀이 나다	to sweat
목소리가 쉬다	to be hoarse; to get a sore throat; scratchy voice
속이 불편하다	to feel bloated; to have digestive problems; to have indigestion
시간이 지나다	time passes
유행이다	to be in; to be in style; to be trendy
환자	patient; invalid; sufferer
이불	blanket; covers; comforter; duvet; bedding
곁	side
