mp3 플레이어	MP3 Player
노트북 컴퓨터	a laptop
뒷부분	the back; rear side; behind
드라이기	a hair dryer
디지텔카메라	a digital camera
만약	if; in case
망가지다	to break down; to be broken
맞히다	to hit
모델명	a product name
무상수리	the free repair service; free warranty
방문하다	to visit
배터리 / 전지	the battery
빠뜨리다	to drop; to leave behind; to omit
상담원	a counselor; sonsultant; advisor; customer service line
서비스 센터	a service center
성풍기	a electric fan; a fan
소비자 상담실	the consumer consulting center; a customer service center
수리비	repair cost
옆면	aside; lateral side
예방하다	to prevent; to restrain
자세하다	detailed; elaborate
자세히	in detail; metculously
자판	the keyboard
적히다	to be written down
전기 스탠드	a desk lamp
제품 보증서	the product warranty
출장 수리비	on-site repair cost
충전기	a battery charger
충전하다	to charge
평소	a usual day
화면	the screen; monitor
건전지를 갈아 끼우다	to change the battery; penlight
물을 쏟다	to spill water
배터리가 나가다	the battery is dead; our of battery
세탁기를 돌리다	to run the washer / washing machine
수도가 얼다	the water pipe has frozen
수리를 맡기다	to be in for repairs
수리비를 내다	to pay for repairs
습관을 가지다	to have a habit / routine
작동이 되다	to be on the blink / to work
전원을 켜다	to turn on the power
전원이 나가다	the power goes off / went off
화면이 흔들리다	the screen is shaky
