토론	debate, discussion
특성	special characteristics
응답자	respondent
마을	a village
면	part
품질	quality
주차	Parking
등장	entrance on the stage;entry
시각	standpoint, viewpoint, perspective
통행	passing, traffic
시기	a period of time
식품	groceries
휴식	Rest, take a rest
일반인	ordinary person, general public
개성	individuality;personality;individual character
무대	stage, arena
용품	goods, articles
인식	to recognition
자극	stimulate, incite / irritate, encourage
사정	personal affairs
근거	Grounds, basis (for an argument)
긴장	tension, be strained, be edgy (하다)
논리	logic, logical
숲	forest
실천	practice (usual procedure)
욕심	Greed, selfishness
원리	basics, fundamentals
작업	work, operation
지난해	last year
개선	improvement, betterment
