안과	ophthalmology clinic
이비인후과	ear, nose, throat clinic
피부과	dermatology clinic
증상	symptom
가스가 차다	to be full of gas
눈이 충혈되다	to have bloodshot eyes
두통이 심하다	to have a strong headache
속이 답답하다	to have indigestion
속이 쓰리다	to have an unsettled stomach
얼굴에 뭐가 나다	to break out in pimples
콧물이 나다	to have a runny nose
토하다	to vomit
깁스를 하다	to wear a cast
넘어지다	to fall down
미끄러지다	to slip
발목을 삐다	to twist an ankle
와/과 부딪치다	to hit
부러지다	to break
손을 불에 데다	to get burned on the hand
손을 칼에 베다	to get cut on the hand
어떻게 하다가 그랬어요?	How did that happen?
규칙적	regular
발목	an ankle
접수	registration (hospital)
접수처	registration desk
접수를 하다	to register
접수를 받다	to register someone
진찰	medical check-up
진찰을 받다	to get a medical check-up
처방	prescription
처방하다	to prescribe
환자	a patient
내려가다	to go down
급하다	to be in a hurry
급하게 먹다	to eat hurriedly
차다	to be cold
찬 음식	cold food
렌즈를 끼다	to wear contact lenses
약을 짓다	to make medicine
많이 놀랐겠어요	You must have been very surprised
어디 좀 봅시다	Let's take a look
소화제	digestive medicine
식후	after a meal
약사	pharmacist
위	stomach
위염	gastritis
자극적	stimulative
처방전	prescription
치료	medical treatment
치료를 받다	to get treatment
음식이 부드럽다	to be bland
꾸준히	steadily
3일치	3 days of medicine
뭐 잘못 드셨어요?	Did you eat something bad?
아이고	Oh my gosh!
어떻게 오셨어요?	What brings you here?
지금 가 봐야겠어요	I have to go now
건강식품	health food
달리기	running
마찬가지	the same
문화생활	cultural life
사우나	sauna
수	the number
수다	chat
술자리	meeting for a drink
영양제	nutrition supplement
육체	the body
인삼	ginseng
전부	everything
최근	most recent
한약	oriental medicine
흡연	smoking
복용하다	to take medicine
조사하다	to research
아깝다	to feel that something is wasted
돈이 아깝다	to feel that money is wasted
정신 건강	mental health
스트레스가 쌓이다	to have stress pile up
스트레스를 풀다	to relieve stress
스트레스 해소 방법	how to relieve stress
인기를 끌다	to gain popularity
