간염	hepatitis
간암	liver cancer
건강식	healthy food
고통	pain (physical or emotional)
통증	pain (physical pain)
과로사	overworking oneself to death
과식	overeating
소식	eating very little
폭식	binge eating
과로	overworking
과음	drinking excessively
구급차	ambulance
규칙적이다	to be regular
불규칙적이다	being irregular
근육	muscle
지방	fat
기운	energy
긴급	emergency
위급	crisis, emergency
낳다	1. to give birth 2. to lead to, to bring forth
출산하다	to give birth
뇌	brain
뇌종양	brain tumor
눈곱	gunk/sleep (in eye after sleeping)
눈썹	eyebrow
늙다	to be old
젊다	to be young
당뇨병	diabetes
인슐린	insulin
동맥경화	arteriosclerosis
뚱뚱하다	to be fat
마르다	to be skinny
살찌다	to gain weight
통통하다	to be chubby
날씬하다	to be slim
뜨다	to open one's eyes
감다	to close one's eyes
막	1. suddenly or unexpectedly 2. thoughtlessly or without paying attention 3. right now
마구	severely
함부로	thoughtlessly
몸무게	weight
체중	weight
민간요법	folk remedy- home style or traditional ways to treat a disease or sickness
배꼽	belly button
복부	abdomen
병들다	to catch a disease
보약	herbal medicine
한의원	traditional Korean medical center
부상	injury
경상	light injury
중상	serious injury
부작용	side effect
합병증	complications
부족하다	to lack, to be deficient
충분하다	to be full of, to be plenty
불면증	imsomnia
붓다	to swell
부풀다 	expand (balloon)
비결	secret method
비만	obesity
비상약	emergency medicine
구급약	emergency medicine
비위생적이다	to be unhygienic, to be unsanitary
위생적이다	to be hygienic
뺨	cheek
볼	cheek
사망	death
사망률	death rate
사망하다	to die
성인병	diseases that affect middle aged adults
세다	to be strong
소모하다	to consume, use up, burn
소화불량	upset stomach, indigestion
손등	back of the hand
손목	wrist
수염	beard/mustache
콧수염	mustache
턱수염	beard
숙면	deep sleep
숨	breath
한숨	a sigh
식사량	amount or serving size of food
식습관	eating habits
식욕	appetite
신장	1. kidney 2. height, stature
신장결석	a kidney stone
콩팥	kidney
심장병	heart disease
앓다	to be ill, sick
암	cancer
튼튼하다	to be strong
어리다	to be young
염증	infection
고름	puss
영양	nutrient
영양가	nutritional value
영양실조	malnutrition
예방하다	to prevent
옮다	to catch, to get infected
전염되다	to be contagious
우울증	depression
움직이다	to move
위	stomach
위경련	stomach cramps
응급실	emergency room
진료실	doctor's office
장	intestines
전염병	infectious disease
주먹	fist
줄다	to decrease, to diminish
늘다	to increase
증상	symptoms
증세	symptom
지치다	to suffer from, to be exhausted from a sickness or hard situation
피로하다	to be tired
참다	to hold back
견디다	to withstand
채식	vegetarian diet
육식	to eat meat
채식주의자	vegetarian
취하다	1. to be intoxicated, enebriated 2. to be lost or absorbed by something 3. to take
치과	the dentist
잇몸	gum
충치	cavity
치아	tooth
틀니	dentures
진료하다	to see a patient
치매	demensia
중풍	stroke
턱	chin
턱선	chin line
털	hair (body hair)
깃털	feather
털보	hairy person
통	any, at all
전혀	at all
도무지	completely
편식	eating only what one wants, to have an unbalanced diet
폐/허파	lung
피로	fatigue
만성피로	chronic fatigue syndrome
하품	yawn
트림	burp
방귀	fart
재채기	sneeze
합병증	complications
부작용	side effect
항암제	anti-cancer drugs/medicine
암세포	cancer cell
진통제	painkillers
마취제	anesthetic
혀	tongue
혈관	blood vessel
혈액	blood
혈압	blood pressure
고혈압	high blood pressure
저혈압	low blood pressure
정상혈압	normal blood pressure
회복하다	to recover
효과	effect
효과적이다	effective
흡연	smoking
금연	no smoking allowed
