의학	medical science
평균수명	average life span
일반화되다	to become a household/general thing
경영하다	to manage, run, operate (business)
불치병	incurable disease
치료하다	to treat/heal
신약	new drug/medicine
개발되다	to be developed
급격히	rapidly, sharply
세대	generation
거주하다	to live/reside in, inhabit
부양하다	to support/provide for
비용	cost, expense, charge
감소하다	to decrease, decline
저출산	low birth rate
고령화	aging population
변화하다	to change (not 바꾸다)
장려	promote
일자리	job, occupation
육아	infant care
담당하다	to take charge of
시급하다	to be urgent
불과하다	to be the only, just something
개교하다	to open/found/establish (school)
빼곡히	to be jammed into
메우다	to fill/crowd/pack/cram
숙련되다	to be skilled at
노동력	workforce, manpower
연계하다	to make a connection/affiliation
닿다	to touch
재정적	financial
개인주의	individualism
확산되다	to spread, diffuse, proliferate
얽매이다	to be bound, tied down, restrained
맞벌이	double income family
혜택	benefit
출생하다	to a baby is born
성장하다	to grow, develop
늙다	to get/grow old
사망하다	to die, pass away
양육하다	to nurture, raise
유아	toddler, preschooler, child
아동	child
청소년	teenager
성인	adult
청년층	young/rising generation
장년층	aging/elderly generation
노년층	older age generation
나이를 먹다	to grow old
아기가 태어나다	a baby is born
아기를 낳다	to give birth to a baby 1
아기를 출산하다	to give birth to a baby 2
출산율이 낮다	birthrate is low
인구가 감소하다	population is decreasing
