일찌감치	extremely early
면회	a visit, visitation (ie to a hospital, prison)
연차	annual
보태다	to supplement, add to
씀씀이	expenses, expenditures, one's money usage habits
묶음 상품	bundle products, products bundled together
전자 상거래	e-commerce
파격적인 할인	substantial or shocking discount
신생	new birth, rebirth, nascent
톡톡히	thickly, 심하게
체감 물가	perceived price
틈새시장	niche market
다단계 판매	pyramid scheme
(가격) 담합	price fixing
적발되다	to be exposed, caught
벌금을 물다	to pay a fine, penalty
중대성	seriousness, gravity, importance
한산하다	to be quiet, slack
북적거리다	to be busy, packed with people
경제 성장률	rate of economic growth
전망치	observation value, outlook
판매 수수료	sales charge, selling commission
수하물	baggage, luggage
근로 소득	earned income
금융기관	financial institution, financial company
