취업하다	To find a job
조직 생활	Organized life
차이가 나다	There is a difference
차이를 보이다	A difference can be seen
우유부단하다	To be indecisive
기회주의적이다	To be opportunistic
자기중심적이다	To be self-centred
주도적이다	To be leading
합리적이다	To be reasonable
리더십이 있다	To have leadership
융통성이 있다	To be flexible
융통성이 없다	To be inflexible
추진력이 있다	To have momentum
카리스마가 있다	To have charisma
도전 정신이 강하다	To be strong in a challenging spirit
승부욕이 강하다	To be strong in battle
자기주장을 하다	To assert oneself
자기주장이 강하다	To be strong in self-assertion
책임감이 강하다	To have a strong sense of responsibility
대인 관계가 원만하다	To have good interpersonal relations
일 처리가 꼼꼼하다	To be meticulous about one's work
의견을 내세우다	To make an opinion
대세에 따르다	To follow a trend
전자	The former
후자	The latter
적극적이다	To be active
고집이 세다	To be stubborn
맞추다	To customize
조화를 중시하다	To emphasize harmony
성격이 드러나다	To reveal one's personality
인재	Human resources
경쟁을 벌이다	To compete
속도	Speed
기업	Enterprise
무대	Stage
치열하다	To be fierce
인재 발굴	Talent hunt
창의적이다	To be creative
일류	First class
이기다	To win
확보하다	To be secure
관건이다	To be important
공채	Public bond, fund
일일이	One by one
면접을 하다	To have an interview
선호하다	To prefer
중점적으로	Primarily
키우다	To raise
원칙으로 삼다	To make it a rule
팔방미인	Jack of all trades
효율적이다	To be effective
잠재력	Latent powers
최대한 발휘하다	To make the most of
소수 엘리트	Minority elite
평범하다	To be normal
직원	Staff
합치다	To combine, unite
차원이 다르다	To be on a different level
귀하다	To be valuable
설립하다	To establish
안목	Eye
기여하다	To contribute
다양성을 지니다	To have diversity
잘나다	To be smart
못나다	To be ugly
비결	Secret, know-how
친화력	Chemical attraction
회장님	Chairman
굴지의	Leading
건설 회사	Construction company
반목하다	To be at odds with
덕목	Virtue
밑거름	Foundation
경주마	Racehorse
순응하다	To adapt oneself to
분류하다	To sort out
전문점	Specialist store
활용되다	To be used
묵묵히	In silence
꽃을 피우다	Flowers blossom
열매를 맺다	To bear fruit
조율하다	To tune, meditate
비유	Metaphor
소신파	Someone with consciousness
