출생률	birth rate
태어나다	to be born (spoken)
출생하다	to be born (formal;official docs)
자라다	to grow up, be raised
성장하다	to grow up, develop
고령화	aging
나이를 먹다	to grow old
늙다	to age
사망률	death rate
죽다	to die (spoken)
사망하다	to die (formal, official docs)
출산율	fertility rate (or maybe birthrate, lol)
낳다	to give birth to (spoken)
출산하다	to give birth to (formal, official docs)
키우다	to raise
양육하다	to nurture
북한	North Korea
앙골라	Angola
잠비아	Zambia
높다	to be high, tall
낮다	to be low, flat
늘다	to increase (spoken)
줄다	to decrease (spoken)
증가하다	to increase (formal)
감소하다	to decrease (formal)
유아	toddler
저출산	low birth rate
진입하다	to enter into something
장려정책을 펼치고 있다	to have policies to promote
혜택을 받다	to benefit from something
상황	circumstance, situation,
시행되다	to take effect
장려금	government incentive money
지자체	local government
금액	amount
아동	child
청소년	youth/teenager
성인	adult
청년층	younger generation
장년층	older generation
노년층	elderly
국가별	regional
심각하다	to be severe, serious
부담스럽다	to be burdened
맞벌이	dual-income
지원하다	to support
양육	nurture, raise
재정적	financial
개인주의	individualism
확산되다	to proliferate, spread
신혼부부 전세 자금 지원	newlywed housing deposit subsidy
신혼부부 주택특별 공급	newlywed special housing subsidy
아이돌봄 서비스 지원	daycare service subsidy
본인, 배우자 출산 휴가	maternity, paternity leave
출산 장려금	childbirth grant
보육료, 유아학비 지원	childcare education subsidy
가정양육수당 지원	low-income family subsidy
영유아 건강검진 지원	Infant and toddler health check-up subsidy
방과후 보육료 지원	afterschool program subsidy
다문화가정 보육교육비 지원	multicultural family education subsidy
양육비	child rearing expenses
평균수명	average life expectancy
유년인구	population of children
개교	opening, founding (of a school)
노약자	elderly or weak people
불치병	incurable disease
신약	new medicine
공익광고	public service advertisement
출산 장려 정책	policy to promote childbirth
에 불과하다	to be just/only something (looking down, ex. Its just $5)
부양하다	to fully support a person (financially)
얽매이다	to be restricted, constrained
최저 수준	lowest level
주요국	leading/major country
출산자녀 수	number of children born
통계청	National Statistical Office
천국인구추계	population projection/estimation (추계)
전체 거주자 가운데 외국인 비율	Of the total residents, the percentage of foreigners
거주자	resident (거)
비율	percentage
차이가 있다	to have a difference
국가별	country-by-country
유년인구	children's population
합계	sum, total, aggregate
추이	development (of), progress
출산율 및 출생아수	fertility rate as well as number of births per woman
고령화의 추이 및 전망	developments in aging as well as the future outlook
전망	view (a fine view); prospect/outlook (a look at the future)
의학 기술이 발달하다	for medical technology to develop
일반화하다	to generalize; popularize
회사를 경영하다	to manage a company/business 경
신약이 개발되다	for a new drug to be developed
불치병을 치료하다	to treat an incurable disease
급격히 증가하다	to rapidly increase (증)
노인 인구	elderly population (인)
약속 시간이 지나다	to be past the appointment time
가게를 가지고 있다	to have/own a shop (가지)
약속 시간을 잊어버리다	to forget the appointment time
한국에 거주하다	to reside in Korea
공짜로 얻다	to get something for free (as a gift)
생산가능인구	population that is potentially able to produce (children)
고령사회로 진입하다	to enter into an aged society
노인을 부양하다	to support the elderly
인구구성 불균형 문제	composition of the population imbalance issue
구성	composition
불균형	imbalance
수가 계속 증가하다	to continue to increase in number
도입	introduction
사회 적응 제도	social adaptation system
해결 방법	a solution (a method of resolving some problem)
장려	encourage, promote
정책	a policy
일자리를 만든다	to create jobs
육아를 담당하다	to be in charge of infant care
담당하다	to be in charge of; take responsibility of
루이스 기자가 취재했습니다	Reporter Louise is covering (the story).
시급히	at once; immediately
풀어 야 할 과제	an assignment that we have to solve
서울 도심	downtown Seoul
2학년이 두 학급	second grade has two classes (of students)
20명에 불과하다	to be nothing more than 20 people
전교생	the whole school (population)
강당	lecture hall, assembly hall
빼곡히 메우다	to be packed/crammed together (like sardines in a can)
메우다	to crowd, pack, cram
노인 복지관	senior center
당시	at that time; in those days
20세 미만	less than 20 years old
65세 이상	more than 65 years old
앞지르다	to surpass, overtake, pass
이르다	to arrive (at/in) get (to)
4배	4 times (something); quadruple
결국	after all (sentence starter)
한편	meanwhile, on the other hand (sentence starter)
즉	in other words (sentence starter)
숙련되다	to be skilled at something
노동력	labor, workforce
생산 현장에서 적극 활용하다	to be actively utilized on the shop floor
현장	scene, place, spot (like of an accident or some working place)
적극적	active (actively involved), aggressive, enthusiastic
활용하다	to utilize, to put something to good use
대책	a measure (countermeasure, to combat some problem)
연계하다	to tie, connect, link with smthg
동시	at the same time; concurrently
가방에 넣는 척하다	to pretend to put it into the bag
돌봐주다	to look after (someone)
배가 닿는 항구	a ship that reaches port
이들이 젊은 층의 자녀를	this class of young people's children
쓰레기를 내 놓는 사람	the person who takes out the trash
펼치다	to unfold; unroll
적다	to be few; small
조사하다	to investigate/look into (조)
자녀에 얽매인 삶이 싫다	to hate having one's life shackled to a child's (to be tied down by a child)
응답하다	to respond, reply, answer
개인주의가 확산되다	for individualism to spread
살펴보다	to examine, search, check
맘 놓고 하다	to put one's mind at ease
아끼다	to save, economize, be thrifty
혜택을 선택하다	to select benefits
금액이 다르게 책정되다	for the set price (amount) to vary
가격을 책정하다	to set/fix the price
셋째	third
넷째	fourth
출산 장려금을 지급하다	to pay a childbirth grant
지급하다	give (sb sth / sth to sb) pay (out)
보육	childcare; daycare
본인과 배우자	you and your spouse
아이돌봄	taking care of a child (childcare) 명사
잔업수당을 받다	to get paid for overtime work (receive overtime benefits)
