기침을 해요	to cough
목이 아파요	sore throat
머리가 아파요	have a headache
콧물이 나요	have a runny nose
열이 나요	have a fever
몸살 기운이 있어요	have the chills, bodyaches
구급상자	first aid kit
밴드	bandaid, adhesive bandage (not 반창고)
반창고	bandaid, adhesive bandage (not 밴드)
파스	pain relief patch
물파스	liquid pain relief patch
소돈약	disinfectant, antispetic
연고	ointment
알약	pill
안약	eye drops
진통제	painkiller
물약	liquid medicine
몸을 따뜻하게 해요	keeps self warm
차를 마셔요	drink some tea
생강차	ginger tea
유자차	citron tea
모과차	Chinese quince tea
대주차	jujube tea
감습기를 틀어요	use a humidifier
비타민을 먹어요	take vitamins
