눈이 침침하다	to have blurred vision
목이 뻣뻣하다	to have a stiff neck
목이 따끔거리다	to have a scratchy throat
속이 거북하다	to feel bloated
가슴이 답답하다	to feel stress/pressure/stifled
막히다	to be blocked
붓다	to swell
쓰리다	to have a burning sensation
가렵다	to be itchy
절리다	to be numb
과로	over-work
과식	over-eat
과음	over-drink
과속	speed
과소비	excessive spending
낙지볶음	fried small octopus
허리를 펴다	to bend one's waist forward
곱창	beef/pork intestines
즐겨 입다	to put on
말이 씨가 되다	to be careful what you ask for
무리하다	to overdo one's self
자꾸만	repeatedly
엄살이다	to be fussy
엄살을 부리다	to exaggerate
온몸	whole body
불규칙하다	to be irregular
후회하다	to regret
툭하면	easily; without much restance
사람을 치다	to hit someone
경고하다	to warn; caution
질	quality
예방하다	to prevent
치료하다	to treat; cure
휴가철	vacation season
패키지	package
고급스럽다	to be luxurious
휴식	rest; break
약속드리다	to give one's word
특식	special meal
풀코스	full-course
헬스클럽	health club
야외	outside
최고급	the finest
오일 마사지	oil massage
과일 바구니	fruit basket
증정	present; gift
명상	meditation
사찰	Buddhist Temple
다도	tea ceremony
체험	experience
잡곡밥	multi-grain rice
건강식	health food
버섯	mushroom
변비	bowel movement
경고	warning
지나치다	to be excessive
흡연	smoking
폐암	lung cancer
각종	every kind; all sorts
질병	illness; disease
병들다	to fall sick
간암	liver cancer
음주	drinking
작업	work; job
발생률	incidence rate
알코올 중독	alcoholism
유발하다	to cause; trigger
응급의료정보센터	Medical Information Center
숨을 쉬다	to breath
적다	to be few; small
푹	well; deeply
체하다	to have an upset stomach
손을 따다	to pick a hand
신경을 쓰다	to take care off
밥을 거르다	to skip a meal
치료를 받다	to receive treatment
건강검진을 받다	to get a health checkup
침을 삼키다	to swallow one's spit
발목	wrist
삐다	to sprain
한의원	Traditional Oriental Medical Clinic
멍이 들다	to bruise; turn black and blue
확인하다	to check; confirm
누르다	to press
뼈	bone
검사하다	to examine; inspect
붕대를 감다	to put a bandage
깁스를 하다	to put a cast
침을 놓다	to apply accupuncture
얼음찜질	to apply an ice pack
한약	Traditional Oriental Medicine
민간요법	home remedy
생강	ginger
반죽	dough; paste
진맥을 하다	to check for a pulse
흐르다	to flow; run
맥박	pulse
뜸을 뜨다	to cauturize with moxa
약초	medicinal herbs
약을 달이다	to detoct; prepare medicine
