속담	proverb
관용어	idioms
호랑이도 제 말하면 온다	speak of the devil, and he will appear.
개구리 올챙이 적 생각 못한다	danger past; God forgotten.
소 잃고 외양간 고친다	to lock the stable door after the horse has been stolen
고래 싸움에 새우 등 터진다	an innocent bystander gets hurt in a fight
세 살 버릇 여든까지 간다	old habits die hard
믿는 도끼데 발등 찍힌다	trust makes way for treachery
원숭이도 나무에서 떨어질 때가 있다	even homer sometimes nods
젊어서 고생은 사서도 한다	early training means more than late learning
천 리 길도 한 걸음부터	a journey of a thousand miles begins with the first step
시작이 반이다	well begun is half done
입이 가볍다	to be talkative; big-mouthed
입이 무겁다	to be taciturn
입이 짧다	to have a small appetite
눈이 높다	to be picky
귀가 얇다	to be gullible
얼굴이 두껍다	to be brazen; shameless
야단을 치다	to scold; tell off
인정을 받다	to receive recognition; commend
신입사원	entry-level employee
관련되다	to be related; connected
부장님	dept. head
혼나다	to get a scolding
마트	mart
경쟁	competition; contest
장사가 안 되다	to be slow in business
눈덩이	snowball
외로움	loneliness
상식	common sense
풍부하다	to be ample; plentiful
조깅	jogging
제대로	properly; right
죽마고우	childhood friend
사연	story; situation
철석같이 맏다	to pin one's trust in
뜸하다	to be seldom; rare
배신감	sense of betrayal
석사	master
논문	thesis
조급하다	to be impatient
느긋하게	to be laid-back; easygoing
눈 코 뜰 새 없이 바쁘다	to live in a whirl of business
박사 과정	doctorate's course
마감	end; finish
겹치다	to overlap; coincide
하필이면	of all places; occasions
겨우	barely; only
전셋집	house on deposit
평범하다	to be ordinary; common
직장인	office worker
강당	hall
행사	event; function
큰돈	large fortune
소중하다	to be precious; dear
소감	impression; thoughts
아니 땐 굴뚝에 연기 날까	where there's smoke, there's fire
스킨들	scandal
네티즌	netizen
지켜보다	to watch; observe
출국하다	to leave the country
매니저	manager
그림의 떡	pie in the sky
제사	ancestral rites
바늘	needle
농업	agriculture; farming
농사짓다	to learn/do farming
