군대	Military
위문 편지	Letter of consolation
입영열차	Army train
그대	You
입대하다	To enlist
군복	Military uniform
군화	Military shoes
기호 식품	Luxury Foods
성장 배경	Growth Background
복학하다	To return to school
인내심	Patience
인생	Life
신체적	Physically
정신적	Mentally
생활력	Vitality
어른스러워지다	To mature
사나이	Man
영장	Warrant
손에 잡히다	To concentrate
불안하다	To be unstable
참을성	Patience 2
떨어져 있다	To be apart
신체검사	Physical Examination
현역	Active Duty
공익 근무 요원	Public Service Employee
면제	Exemption
입영통지서	Admission notice
육군	Army
해병대	Marine
해군	Navy
공군	Air Force
복무하다	To serve (in the army)
훈련소	Training school
부대	Army unit
자대 배치를 받다	To receive a large deployment
이등병	Private Recruit
일병	Private First Class
상병	Sergent
병장	Specialist, Senior
내무반	Living quarters
귀대하다	To be enthusiastic
휴가를 받다	To take a vacation
외출을 받다	To go out
외박을 받다	To take a night off
제대하다	To be discharged
탈영하다	To desert
징병제	Conscription Service
모병제	Volunteer Service
국방의 의무를 다 하다	To fufil the duty of national defense
참전하다	To go to war
예비군	Reserve Forces
위문하다	To consent
쥐다	To hold
단조롭다	To be monotonous
복귀하다	To return
생활력이 강하다	To be strong in life
참을성을 기르다	To cultivate patience
투정하다	To be upset
허풍을 떨다	To bluff 2
허풍을 치다	To bluff
허풍이 심하다	To have a big bluff
출마하다	To run
합리적이다	To be reasonable
가산점을 얻다	To get extra points
진정하다	To relax
어색하다	To be awkward
신세를 지다	To take care of
군것질을 하다	To eat junk food
일용품	Daily necessities
씀씀이가 헤프다	To waste money
전반적	Overall
방안	Measures
검토하다	To examine
지적하다	To point out
지적을 받다	To receive an indication
입학 허가증	Admission letter
유람선	Cruise ship
대머리	Bald
단발머리	Short hair
가발	Wig
의상	Costume
교복	Uniform
맨발	Bare Foot
목욕 용품	Bath goods
머리가 굳다	To feel like you have become stupid
머리가 까매지다	To become stiff
하이힐	High Heels
고무신을 거꾸로 신다	Idiom for a woman cheating whilst boyfriend is in military
제대	Discharge
편입하다	To incorporate
군인	Soldier
씀씀이가 크다	To increase spending
폭력	Violence
전염되다	To be contagious
의무	Duty
개선하다	To improve
체중	Weight
엄밀히 따지면	Technically speaking
떨구다	To repeatedly fall
반정투정	Half-assed
유머	Humour
허세	Bluff
출마하다	To run for something
자부심	Pride
병역 제도	Conscription system
전염병	Contagious disease
정신병	Mental illness
의학	Medical studies
과학	Science
가산점	Extra Point
애국심	National Pride
정모	General get-together
군기	Military discipline
군기가 빠지다	To lose military discipline
샴푸	Shampoo
지출	Expenditure
송금	Remittance
휴학	Leave of absence
공중전화	Payphone
세금	Tax
복무기간	Period of service
병장	Sergeant
복귀하다	To return
