관찰하다	To observe
속이 쓰리다	To feel sick
담임선생님	Homeroom Teacher
연구실	Lab
치통	Toothache
불꽃놀이	Fireworks
시장하다	Hon 고프다
두통	Headache
요통	Back pain
생리통	Menstrual Pain
의도	Intention
입원하다	To be hospitalised
쓰러지다	To collapse
면접시험	Interview exam
흘리다	To spill
옥상	Roof
주로	Mainly
돈을 벌다	To earn money
의심스럽다	To be questionable
감탄하다	To be wonderful
기르다	To raise
개업	Open
바람을 피우다	To have an affair
비활동	Inactivity
부적절하다	To be inappropriate
시체놀리	To play dead (be inactive)
적절하다	To be appropriate
식사를 거르다	To skip a meal 2
과석	To overeat
야식	Midnight meal
아침결식	To skip breakfast
잦은 간식	Frequent snacks
질병관리본부	Korea Centers for Disease Control and Prevention
몸에 배다	To be accustomed to
버릇	Habit 3
심장병	Heart Disease
당뇨병	Diabetes
고치다	To fix
일간지	Daily
보도하다	To report (findings)
심장학	Cardiology
극소수	Minority
줄이다	To reduce
암환자	Cancer Patient
암	Cancer
여부	Whether or not
식습관	Eating Habit
진행속도	Process speed
여전히	Still
절반	Half
사망률	Mortality rate
유방암	Breast cancer
연구결과	Study results
충분하다	To be enough
금연하다	To reduce smoking
통보하다	To give stern advice
개선하다	To make improvements
충고	Advice 3
확실하다	To be certain
진단을 받다	To receive a diagnosis
섭취량	Intake Quantity
신철하다	To put into practice
거식증	Annorexia
깡마르다	To be scrawney
섭취하다	To ingest
너 나 할 것 없이	Everybody
대부분	Mostly
협박	Threat
성장	Growth
호르몬	Hormone
습관을 버리다	To break a habit
심하다	To be a lot
분비되다	To be secreted
오히려	Rather
원	Expression for surprise
숙면	Deep sleep
위쪽	Upper
상대적	To be relative
침실	Room for sleeping
복통	Abdominal Pain
심적	Mentally 2
