다치다	to be hurt
기침이 나다	to cough
다 낫다	to be completely recovered
마사지를 받다	to get a massage
목이 붓다	to have a swollen throat
몸이 안 좋다	to not be feeling well
몸이 약하다	to be weak
소화가 안 되다	to have digestion problems
어깨가 아프다	to have a pain in shoulders
잠이 안 오다	to have trouble falling asleep
허리가 아프다	to have back pain
그래야 할 것 같아요	I may have to do that
시간이 안 나다	I don't have time
멀미하다	to have motion sickness
씹다	to chew
조심하다	to be careful
딱딱하다	to be hard
과일	fruit
상담 선생님	counselor
상추	lettuce
식초	vinegar
음료수	beverage
낮잠을 자다	to take a nap
땀을 흘리다	to sweat
소금물로 양치칠하다	to gargle with salt water
스트레칭을 하다	to stretch
에어컨을 켜다	to turn on an air conditioner
오랫동안	for a long time
옷을 두껍게 입다	to wear thick clothing
잠이 오다	to feel sleepy
가수	singer
소프라노	soprano
진행자	host
천천히	slowly
특별히	especially
건강을 지키는 방법	way to stay healthy
마사지를 하다	to give a massage
스트레스를 받다	to be stressed out
피로가 풀리다	to be relieved of one's fatigue
하루에 여덟 시간씩 자다	to sleep 8 hours everyday
그렇군요	Oh, I see
나와 주셔서 감사합니다	Thanks for joining us
