국토	territory, country
으로 이루어지다	consist of, be composed of
삼면	three sides, three faces
으로 둘러싸이다	be surrounded, be encircled
반도국	peninsular country
온대	temperate climate regions
기후	climate
열대	tropical regions
한대	polar regions
고온다습	high temperature and humidity
고유하다	innate, unique, indigenous
한복	hanbok, korean traditional clothes
직선	straight line
곡선	curved line
조화를 이루다	be in harmony
우아하다	graceful, elegant
저고리	korean traditional jacket
적합하다	suitable, appropriate
삼베	hemp cloth
모시	ramie cloth
옷을 짓다	have a suit made
겹	layer
솜옷	cotton clothes
주식	staple food
반찬	side dish
곁들이다	garnish with
무침	vegetables seasoned with vinegar
조림	food boiled down in soy sauce
쌈	rice and condiments wrapped in leaves of lettuce
발효 식품	fermented food
식혜	sweet rice drink
수정과	persimmon punch
화채	fruit salad
사찰	buddhist temple
궁중	royal court
온돌	korean floor heating system
마루	(wooden) floor
난방 시설	heating facilities
깔다	spread out, lay, pave
여전히	still, as ever
에 그치다	stop at
체험하다	experience
국경이	border, frontier
접해 있다	bordered, share a border
동고서저	high in the east, flat in the west
혹한	bitter cold, severe cold
초가집	thatched cottage, thatched house
