가슴이 뻥 뚫리다	to feel liberated
기분이 상쾌해지다	to feel refreshed
꽃으로 가득하다	to be filled with flowers
끊임없이	ceaselessly
끝없이	endlessly
끝없이 펼쳐지다	to be endlessly spread out
마음이 차분해지다	to be calm minded/composed
말없이	without a word
머리가 맑아지다	to have one's mind become clear
바람에 날리다	to flap in the wind
밤낮없이	night and day
빨갛게 물들다	to be dyed red/colored crimson
수없이	innumerably
줄지어 서 있다	to be standing in lines
별	special; particular(~로)
반하다	to be enamored;to have a crush on
활짝	broad; wide
풍경	scenery
올레길	hiking trail in Jeju-do
강원도	provinces in northeastern South Korea
설악산	a mountain in Gangwon Province
동해안	East Sea Shore
장면	view, scene
김빠지다	to go flat
관람객	spectator; viewer
진정하다	to be true, genuine/ calm down
우체통	postbox
무조건	unconditionally
요구하다	to request
여유로움	leeway
광화문	front gate of Gyeongbok Palace
돌다리	stone bridge
짐승	animal; beast
조각되다	to be carved
천록	a mythical animal
생동감이 있다	to feel alive, to have sense of liveliness
메롱	children's teasing  word
내밀다	to stick out
궁궐	palace
근정전	main throne hall
칠조룡	seven toed dragon
고궁박물관	National Palace Museum of Korea
둘이 먹다가 하나가 죽어도 모르다	If one of us died while eating, the other one would not know if (because the food is so delicious)
항구	port
통영	a city in South Gyeongsang Province
갈매기	seagull
고깃배	fishing boat
명물	specialty (in a certain area)
충무김밥	a special regional gimbap in 충무
꿀빵	honey bread
미륵산	a mountain in Tongyeong
예술인	artist
소매물도	an island near Tongyeong
일출	sunrise
일몰	sunset
여객선	passenger boat
민박집	private lodging
펜션	pension
오징어무침	seasoned squid
무김치	radish kimchi
별미	delicacy
휴양 여행	a trip for relaxation
수학여행	school field trip
엠티	MT
약자	abbreviation
수평선	horizon
보물	treasure
몰두하다	to be absorbed/devoted
지식이 풍부하다	to have abundant knowledge
꼽히다	to be considered
급여	wage
염색하다	to dye
