약사	pharmacist
감기에 걸리다	to catch a cold
목	throat
기침을 하다	to cough
열이 나다	to have a fever
약	medicine
식사	meals
소화가 안 되다	to have indigestion
돼지고기	pork
죽	porridge
머리	head
기침	cough
심하다	to be severe
몸살이 나다	to have aches and pains
푹	completely
좋아지다	to get better
몸	body
얼굴	face
눈	eye
코	nose
입	mouth
귀	ear
목	throat
가슴	chest
배	stomach
어깨	shoulder
팔	arm
손	hand
허리	waist
등	back
엉덩이	buttocks
다리	leg
발	foot
콧물이 나다	to have a runny nose
배탈이 나다	to have a stomachache
토하다	to vomit
설사하다	to have diarrhea
아이스크림	ice cream
술	alcohol
고기	meat
따뜻한 물	hot water
효능	effect
효과	efficacy
복용 방법	method of taking medication
(2)회	(2) times
(1)알	(1) pill
두통	headache
어른	adults
어린이	children
잠시	short while
모임	gathering
공사 중	under construction
페인트	paint
칠하다	to paint
감기약	cough medicine
길이 막히다	(road) to be jammed
늦다	to come late
이따가	a little later
씻다	to wash
아침밥	breakfast
