거르다	skip; filter; sift
오염되다	To be polluted, contaminated
호흡기 질환	respiratory disease
자가운전자	driver
아토피 피부염	eczema
탈모	balding, hair loss (also with 하다)
알레르기성 비염	allergies/nose problems
혈액 순환	blood circulation
반신욕	half body bath
지장을 주다	to cause a person inconvenience
유발하다	to trigger, bring about
다반사	common
걸핏하면	easily
꼬다	to twist; to cross (one's legs)
비롯되다	To be begun, to have started
탈이 나다	to fall ill
끼니	daily meals
우습게 여기다	to look lightly on
병을 키우다	to let a disease progress
구두쇠	miser
천재	genius,talent
노력파	hard worker
바람둥이	cheater, playboy
술고래	alcoholic
삼림욕	therapeutic walk in the forest; getting some fresh air
열풍	fever, craze
개최하다	to hold, open, host
돋보이다	to stand out
선망의 대상	object of envy
미성숙하다	immature
지니다	to have, possess
일컫다	to call (to name)
불구하다	to disregard, to neglect; to treat in a disrepectful manner
기울이다	to devote, to concentrate
전유물	exclusive property; monopolized product
고령화	aging
도래	advent, coming, arrival
불러일으키다	to rouse[gather] up;stir up;arouse;excite
노년층	old generation
한층	more, still more
치중하다	to put emphasis on; to stress, attach importance to
우려	worry,anxiety,fear
급기야	at last, in the end, after all
우울증	depression
한 줄기 빛	a ray of light
힘겹다	hard, tough, arduous
못지않다	to be just as good as
인재	a man of ability
콤플렉스	complex
감량하다	to lose weight; to reduce
자아상	self-image
펴내다	to publish, bring out in print
척도	criterion, yardstick, touchstone, measure
만연하다	be rampant, be prevalent, be endemic
만끽하다	to enjoy
마음가짐	one's attitude of mind
행복 지수	happiness index
병 주고 약 준다	to pretend to help someone after hurting them
입에 쓴 약이 병에는 좋다	bitter pills may have blessed effects
모르면 약이요 아는 게 병이다	ignorance is bliss
