,0,1
0,싸다,"to pack, wrap"
1,싸우다,to fight
2,쌀,(uncooked) rice
3,쌓이다,"to be piled up, stacked up"
4,썰다,"to dice, mince"
5,쓰기,writing
6,쓰다,to use
7,쓰다,to write
8,쓰다,to be bitter
9,쓰레기,"waste, rubbish"
10,쓰이다,to be used
0,그렇지만,"nevertheless, however, but (not 그런..., 그래...)"
1,그릇,"a bowl, rice bowl"
2,그리고,"And, also"
3,그리다,"to draw, to paint"
4,그림,"a drawing, a painting, a picture"
5,그만하다,"to do only that much, to quit, to end (not ...두다)"
6,그분,"the/that gentleman, lady"
7,그저께,the day before yesterday
8,그쪽,that way (direction)
9,그치다,"to stop, to cease"
10,극장,movie theater
11,근처,nearby
12,글,a writing
13,글쎄요,"Well, let me see..."
14,금방,"a moment ago, just now; in a moment"
0,고치다,"to repair, to fix"
1,고프다,to be hungry (verb alone)
2,고향,one's hometown
3,곧,"right away, soon, immediately"
4,골목,"a back street, an alley"
5,골프,golf
6,곱다,"to be beautiful, nice (not 예..., 아...)"
7,곳,a place
8,공,a ball
9,공간,a physical space
10,공기,"the air, the atmosphere"
11,공무원,"a public servant, government employee"
12,공부,"study, learning"
13,공연,a public performance
14,공원,a park (not 박)
0,보다,"to see, look, watch"
1,보이다,"to be seen, to come in sight; to show, to display"
2,보통,"usually, normally"
3,복숭아,a peach
4,복잡하다,"to be crowded, complicated"
5,볶다,to stir-fry
6,볶음밥,fried rice
7,볼펜,a ballpoint pen
8,봄,spring
9,봉지,a bag or packet
10,봉투,an envelope
11,뵙다,to meet (honorific)
12,부동산,"property, real estate"
13,부드럽다,"soft, smooth"
14,부르다,to call (out)
0,배,a pear
1,배,the stomach
2,배,"a boat, a ship"
3,배 고프다,to be hungry
4,배구,volleyball
5,배달,delivery
6,배 부르다,"to be full, stuffed"
7,배우,"an actor, an actress"
8,배우다,to learn
9,배탈,stomach ache
10,백,hundred
11,백화점,a department store
12,버리다,"to dispose, dump, throw away"
13,버스,a bus
14,번,mw. for numbers (sino-korean)
0,미래,future
1,미리,"beforehand, in advance, ahead of time"
2,미술,fine arts
3,미술관,"art museum, art gallery"
4,미안하다,"to be sorry, to be regrettable"
5,미용실,"a beauty parlor, hair salon"
6,미터,a meter (distance)
7,민속촌,folk village
8,밀가루,flour
9,밀리다,"to be overdue, left undone"
10,밑,"the bottom, below"
11,바꾸다,to change
12,바뀌다,to be changed
13,바나나,banana
14,바다,the sea
0,공중전화,"a payphone, a public phone"
1,공짜,free (not 무..)
2,공책,a notebook
3,공항,an airport
4,공휴일,a public holiday
5,과,"a department, class"
6,과거,the past
7,과일,fruit
8,과자,"a snack, a cookie, a biscuit"
9,과학,Science
10,관계,"connection, relation"
11,관광하다,to tour
12,관심,"interest, concern"
13,광고,an advertisement
14,괜찮다,"to be okay, to be good"
0,번호,a number (not 숫...)
1,벌다,to earn money
2,벌써,already
3,벗다,"take off, undress"
4,벚꽃,sakura (cherry blossoms)
5,베이징,Beijing
6,베트남,Vietnam
7,벽,a wall
8,변호사,a lawyer
9,별,a star
10,별로,"especially, particularly (used in negative sentences)"
11,병,"mw. for jars, bottles"
12,병,"an illness, disease"
13,병원,a hospital
14,보내다,to send
0,깨끗하다,"to be clean, hygienic"
1,깨다,to break
2,깨지다,"to break, to be broken"
3,꺼내다,"to take out, remove"
4,껌,chewing gum
5,꼭,"without fail, for sure"
6,꽃,a flower
7,꽃집,a flower shop
8,꾸다,to dream
9,꿈,a dream
10,끄다,to turn off
11,끓이다,"to boil, heat (i.e. a soup, a broth)"
12,끝,"the end, finish"
13,끝나다,"to be over, to end, to finish (not 마...)"
14,끝내다,"to finish off, complete (not 마...)"
0,신문,a newspaper
1,신발,"footwear, shoes"
2,신청서,application form
3,신청하다,"to apply for, request"
4,신호등,traffic lights/signal lights
5,실례하다,to be excused
6,실수,a mistake
7,싫다,"to be unpleasant, disagreeable, undesirable"
8,싫어하다,"to hate, to dislike"
9,심하다,to be severe
10,십,ten (Sino-Korean)
11,십이월,December
12,십일월,November
13,싱겁다,"to taste bland/flat, unsalted"
14,싸다,to be cheap
0,바닷가,"Seaside, seashore"
1,바라다,"to wish, to hope"
2,바람,"wind, breeze"
3,바로,"straight, upright (ᄇ)"
4,바르다,"to paste, to stick, to apply to (e.g. a cream, paint, butter, etc)"
5,바쁘다,to be busy
6,바이올린,a violin
7,바지,pants
8,박물관,a museum
