기계	machine
가전제품	electronic items in the home
콘센트	socket, outlet
콘센트에 꽂다	to plug into an outlet, socket
종이가 걸리다	paper jam
컴퓨터가 안 켜지다	computer won't turn on
토너가 떨어지다	to run out of toner
고객	customer
상담원	call-centre worker
연락 가능한 번호	a number to contact you on
이름과 연락처를 남겨 주세요	please leave your name and contact info
결과	result
상대방	the person you're talking to
원본	original copy
누르다	to press
통화중	in the middle of a call
모델명	model number
시기	time
구입시기	time of purchase
지역	area, region
구입하다	to purchase, buy
서비스 기사	serviceman
-이,가 저장 되어 있다	to be saved (in a computer)
그래 주셨으면 좋겠어요	if you did that, it'd be good, thanks
기능	function
실수로	by mistake
안내서	information brochure
양	amount
양이 많다	to be a large amount
관람하다	to look around (a museum, gallery)
-이,가 남다	to remain
글을 올리다	to upload writing
포장하다	to wrap
곤란하다	to be difficult, have trouble with
물에 빠뜨리다	to fall into water
-이,가 포장되어 있다	to be wrapped together
할 수 없이	unavoidable
축제 기간	the festival period
회비	membership fee
시험 기간	exam period
복사기	a copy machine
스캐너	a scanner
파워 버튼	a power button
플러그	a plug
연결이 잘못되어 있다	to be improperly connected
고객 상담원	customer inquiries center
인쇄하다	to print
클릭하다	to click
현금 인출기	ATM
기타	etc.
을/를 와/과 연결하다	to connect, to link
확인하다	to confirm
가능하다	to be possible, feasible
두부	tofu
디자인	design
사실	the truth
실수	a mistake, error
여성	a female
콩나물	Bean sprouts
무시하다	to ignore, to disregard
올리다	to upload
예를 들면	for example
오고 가다	to come and go
태풍	typhoon
희망 사항	wish(es)
한정식	korean-style meal (with many side dishes)
새로 생기다	to be newly built
