어머	oh no!
어	oh!
그렇다	to be so
혹시	by some chance
일기예보	weather forecast
소나기	rain shower
같다	to be alike
그럴까요?	Is it so?
걱정하다	to worry
(비가) 그치다	(rain) to stop
굉장히	very (much)
추워지다	to become colder
그래도	still
기온이 높다	to be high temperature
습도가 높다	to show a high percentage of humidity
말씀드리겠습니다	I'll talk about...
중부지방	the middle part
구름이 끼다	to be cloudy
남부지방	the southern part
대체로	for the most part
최저기온	the lowest temperature
(0)도	(zero) degree
최고기온	the highest temperature
차이	difference
두껍다	to be thick
얇다	to be thin
여러	several
보내다	to spend
하루 종일	all day long
기온이 낮다	(temperature) to be low
기온이 올라가다	(temperature) to go up
기온이 떨어지다	(temperature) to go down
습도가 낮다	(humidity) to be low
건조하다	to be dry
영상	above zero
영하	below zero
다른	other
참	very
해가 나다	to be sunny
날이 개다	to clear up
소나기가 내리다	(shower) to come
천둥이 치다	(thunder) to roll
번개가 치다	(lightening) to flash
태풍이 불다	(typhoon) to blow
장마가 시작되다	(the rainy season) to start
외출하다	to go out
나들이를 하다	to go on a picnic
세차를 하다	to wash a car
이불을 빨다	to wash bedclothes
차를 가지고 가다	to drive a car
난방을 하다	to heat / be heated
오래간만에	after a long time
땀이 나다	to sweat
손이 시리다	(hands) to be cold
옷이 젖다	(clothes) to get wet
길이 미끄럽다	(road) to be slippery
먼지가 나다	to be dusty
장마철	rainy season
한때	once
