갈다	to switch, replace, renew
깨끗이	cleanly
깨다	to break (glass)
꾸미다	to decorate
늦잠	oversleeping
먼지	dust
분리	separation
설치	installation
세차	a car wash
애완동물	a pet
양치	brushing one's teeth
울리다	to ring (call)
월세	monthly rent
위생	sanitation
이삿짐	one's belongings (when moving)
일상	daily life
자취	living apart from one's family
잠그다	to lock
조절	an adjustment
주거	a residence
주민	a resident
충전	recharge
치우다	1. to tidy/clean up 2. to move something out of the way
틀다	1. to turn on the TV or radio 2. to turn on the tap
향기	fragrance
