예체능	Physical education
의무 교육	Compulsory education
조기 유학	Early years year abroad
세계관	World view
가산점	Added points
외화 낭비	Waste of foreign currency
인재를 잃음	Lose talent
탈선 가능성	Deviation possibility
소외감	Alienation
차별	Discrimination
정체성 혼란	Identity confusion
정서에 문제	Problems with emotion
일관성	Consistency
자국어	Native language
상대성	Relativity
유리하다	To be advantageous
바래다	To fade
이루어지다	To come true
역할 분담	Role assignment
바람	Hope
바라다	To hope
간절하다	To be eager
역할을 다하다	To play a role
귀를 기울이다	To focus one's ears
고약하다	To be nasty
던지다	To throw
던져두다	To be thrown
배짱	Guts
굶기다	To starve
굶겨 보내다	To delay meals
어찌어찌하다	Somehow
고작이다	To be nothing more than
강도를 높이다	To increase intensity
고집쟁이	Mule
말대답을 하다	To answer
말대꾸를 하다	To retort
꿈틀대다	To wriggle
말을 자르다	To cut one's words
적용하다	To apply
아른거리다	To croak
맞이하다	To greet
재잘재잘	Chatter
듣는 둥 마는 둥 하다	To do nothing but listen
보는 둥 마는 둥 하다	To do nothing but watch
조막만하다	To be as good as gold
자신의 목소리를 내다	To give one's voice
무릎을 꿇다	To kneel down
캠프	Camp
고개를 넘다	To cross a pass
털어놓다	To confine
야단법석	Fuss
가파르다	To be steep
수목한계선	Tree line
지대	Belt
매섭다	To be fierce
곧다	To be straight
도무지	Untimely
생존	Survival
공명	Resonance
선율	Tune
고난	Hardship
성장하다	To grow up
식은 죽 먹기	Piece of cake
해발	Elevation
과잉보호	Overprotectiveness
발휘	Exercise
보살피다	To take care of
성취감	Achievement
희새하다	To nourish
가정 형편	Family circumstances
가족 구성원	Family member
희생하다	To sacrifice
입시 학원	Prep school
영어 과외	English school
선행학습	Prior learning
학교수업 보충	Supplementary schooling
불안심리	Anxiety
보육	Nursery care
수강	Class registration
과외	Private lessons
사교육	Private education
학문연구	Academic research
진리 탐구	Search for trurth
전공 지식 습득	Specialist knoweldge acquisition
자아 실현	Self-realization
취업준비	Employment preperation
학점 관리	School credit management
외국어 성적	Foreign lanuage proficiency
자격증 취득	Gain a professional license
경호원	Security guard
