경영	management, administration
구조적	structural, organizational
적자	a deficit, a loss
시달리다	to suffer from, to be pestered by
아이러니	irony
불합리	irrationality, illogicality
소재	material, subject matter
착상	an idea, a thought
자기중심적	egotistical
염려	worry, concern, anxiety
민주	democracy, popular rule
과제	a task, an assignment
번창	prosperity, flourishing, success
번성	prosperity, thriving
만족감	(feeling of) satisfaction
낙	joy, pleasure, delight
노동	labor, work
단축	shortening, cutting down
불경기	a recession, a slump
양국	both/two countries
협력	cooperation, collaboration
교류	exchange, interchange
급진적	radical, rapid
소비자	a consumer
물가	price
둔화되다	to slow down (passive)
심오하다	to be profound
유전적	hereditary, genetic
천부적	innate, inbuilt
서구적	western
전력	electricity, power
급증하다	to rapidly increase
