가닥	너무 깊은 산속이라서 그런지 한 __의 불빛도 새어 나오지 않았다.
가치관	사람들은 모두 각자의 __에 따라서 생각하고 행동하기 마련이다.
각광	우리 회사의 제품이 해외 시장에서 __을 받기 시작했다.
각오	상대편의 기술과 조직력이 좋다는 얘기를 듣고 __를 단단히 했다.
갈등	이 드라마는 고부간의 __을 지혜롭게 풀어내서 많은 사랑을 받았다.
갈피	그 사람은 왜 그러는지 도무지 __를 잡을 수가 없었다.
개발	인류는 미래를 위해서 새로운 대체 에너지를 __에 힘써야 한다.
거리낌	마음에 조금의 __도 없이 솔직하게 털어 놓았다.
걸림돌	너의 그런 낡은 사고방식은 회사의 발전에 __이 될 뿐이다.
결손	연예계에서는 __ 가정 자녀들을 위한 자선 파티를 열 예정이다.
결실	성실하게 살아오신 부모님 덕분에 자식들도 성공의 __을 맺었다.
결핍	그것은 애정이 __된 아이들에게 공통적으로 나타나는 증상이다.
경쟁	이곳에 모인 사람들은 100 대 1의 치열한 __을 뚫고 온 사람들이다.
계기	이번 일을 __로 삼아 더욱 열심히 노력해야 한다.
궁핍	빈곤과 __에 처했을 때 비로소 자신의 진짜 모습을 발견하게 된다.
궤변	이제 그런 엉터리 같은 __은 그만 늘어놓았으면 좋겠다.
균형	우리나라는 __ 있는 발전을 통해 고도의 경제 성장을 이루었다.
극적	헤어졌던 가족이 30년 만에 __으로 상봉했다.
