,0,1
0,기원,"origin, beginning"
1,기틀,"basis, foundation"
2,끈기,"patience, perseverance, endurance"
3,나름,in one's (own) way
4,난리,"a fuss, a panic"
5,눈길,"attention, interest"
6,능률,efficiency
7,담보,"collateral, security"
8,대우,"treatment, (working) conditions"
9,독촉,an urge
10,동기,"a motive, a reason"
11,동향,"a trend,  a tendency"
12,말문,one's tongue
13,망신,"shame, humiliation, disgrace"
14,맥락,context
0,융통성,"adaptability, flexibility"
1,잡념,useless/idle thoughts
2,쟁점,an issue
3,전략,"a strategy, a tactic"
4,정책,a policy
5,존폐,maintenance or abolition
6,지연,"a delay, a postponement"
7,지장,an encumbrance
8,지천,an abundance
9,착오,"a mistake, an error"
10,추세,"a trend, a tendancy"
11,침체,"stagnation, recession"
12,침투,"penetration, permeation"
13,타협,a compromise
14,탓,"a reason, fault, blame"
0,튼튼하다,"to be strong, solid, steady"
1,불길,"a flame, a blaze"
2,타오르다,"to blaze, to rage, to flare up"
3,후보,"a candidate, a nominee"
4,국민대통합,national unification
5,내걸다,to put up
6,행보,"act, move"
7,이어가다,"to keep, to maintain, to continue"
8,사사건건,"everything, at every step"
9,괴롭히다,"to harass, to torment"
10,수상하다,"to be suspicious, strange"
11,형사,"(police) detective, investigator"
12,파헤치다,"to dig up, to expose"
13,전달하다,"to deliver, to convey"
14,제시하다,"to suggest, to propose"
15,음주,drinking
16,찬반,yes or no
17,벌어지다,"to happen, to take place"
18,사회자,"a chairman, a host, an MC"
19,토론자,a debater
20,주의,"care, caution, warning"
21,눈치를 채다,"to notice, to be aware"
22,결정적,"decisive, crucial, conclusive"
23,찾아내다,"to find, to discover, to locate"
24,무관심,"indifference, apathy"
25,이겨내다,"to overcome, to conquer "
26,뒤따르다,"to follow, to ensue"
27,기초,"basics, a foundation"
28,트집,a fault
29,기미,"a sign, an indication"
30,논란,"a controversy, a dispute, an argument"
31,센스,sense
0,바람을 쐬다,to get some fresh air
1,맞아떨어지다,"to balance, to match"
2,시책,a policy
3,국민,"a nation, a people, a public"
4,국가,"a nation, a country, a state"
5,최우선,top priority
6,감소,"a decrease, a decline, a drop"
7,거론되다,"to be mentioned, to be referred to"
8,지체,"a delay, a hold-up"
9,기술적,"descriptive, technical"
10,부딪히다,"to be bumped into, to run into"
11,방해,"a disturbance, an interruption "
12,공사장,a construction site
13,소음,"noise, a ratchet"
14,뒷산,a mountain (behind something)
15,산나물,wild edible greens
16,정체,"stagnation, congestion, gridlock"
17,밀봉,sealing
18,세균,"a germ, a virus, bacteria"
19,교섭,"a negotiation, bargaining"
20,조상,an ancestor
0,모순,그 회사는 경영의 구조적 __으로 적자에 시달리고 있다.
1,묘미,인생은 시련을 극복하는 데에 그 __가 있는 듯싶다.
2,발상,그 영화는 소재부터 주제까지 독특한 __으로 주목을 받고 있다.
3,배려,그는 자기중심적이라서 남을 위해 __를 할 줄 모르는 것 같다.
4,번영,우리는 민주와 __의 새 시대를 열어야 할 과제를 안고 있다.
5,보람,아무리 힘들더라도 내 자신이 __을 느낄 수 있는 일을 찾고 싶다.
6,보편적,주 5일제를 통한 노동 시간 단축이 __ 추세인데도 밤샘 노동이 사라지지 않는다.
7,불황,요즘 같은 __에는 대부분의 기업들이 지금 사정이 여유롭지 못하다.
8,비약적,양국 관계는 활발한 경제 협력과 문화 교류에 이르기까지 __으로 발전했다.
9,비전형적,노인 우울증은 젊은이와는 다르게 증세가 __으로 나타난다.
10,상승폭,소비자 물가 __이 크게 둔화되면서 올해 들어 가장 낮은 2.2%를 기록했다.
11,상징적,그 작품의 __ 의미는 한마디로 말할 수 없을 정도로 심오하다.
12,선천적,그의 성공은 __인 재능에서 비롯되었다.
13,성인병,현대인의 식생활이 서구적으로 변함에 따라 __이 많이 발생했다.
14,수요,계속되는 무더위로 전력 __가 급증하고 있다.
0,가망,"possibility, likelihood, chance"
1,가설,a hypothesis
2,감수성,sensitivity
3,개성,"individuality, personality"
4,겨를,(spare) time
5,격려,encouragement
6,견문,"experience, what one sees and hears"
7,결단력,decisiveness
8,경고,"a warning, caution"
9,경향,a tendency
10,고집,"insistence, obstinacy"
11,고충,a difficulty
12,곤경,"trouble, a predicament"
13,골치,a head
14,구체적,"definite, concrete"
0,퇴치,"eradication, extermination"
1,파급,"spreading, reaching, influence"
2,파동,"a fluctuation, a wave"
3,판독,"decipherment, decoding"
4,판정,"a judgment, a decision, a verdict"
5,편파적,"biased, slanted"
6,핀잔,"scolding, chiding, telling off"
7,하자,"a flaw, a defect"
8,허구,"fiction, a fabrication"
9,현황,"a present situation, a current state of affairs"
10,호응,a (positive) response
11,호평,a favorable comment/review
12,화근,a source of trouble
13,황폐화,"devastation, desolation"
14,횡포,a tyranny
0,경영,"management, administration"
1,구조적,"structural, organizational"
2,적자,"a deficit, a loss"
3,시달리다,"to suffer from, to be pestered by"
4,아이러니,irony
5,불합리,"irrationality, illogicality"
6,소재,"material, subject matter"
7,착상,"an idea, a thought"
8,자기중심적,egotistical
9,염려,"worry, concern, anxiety"
10,민주,"democracy, popular rule"
11,과제,"a task, an assignment"
12,번창,"prosperity, flourishing, success"
13,번성,"prosperity, thriving"
14,만족감,(feeling of) satisfaction
15,낙,"joy, pleasure, delight"
16,노동,"labor, work"
17,단축,"shortening, cutting down"
18,불경기,"a recession, a slump"
19,양국,both/two countries
20,협력,"cooperation, collaboration"
21,교류,"exchange, interchange"
22,급진적,"radical, rapid"
23,소비자,a consumer
24,물가,price
25,둔화되다,to slow down (passive)
26,심오하다,to be profound
27,유전적,"hereditary, genetic"
28,천부적,"innate, inbuilt"
29,서구적,western
30,전력,"electricity, power"
31,급증하다,to rapidly increase
0,가닥,너무 깊은 산속이라서 그런지 한 __의 불빛도 새어 나오지 않았다.
1,가치관,사람들은 모두 각자의 __에 따라서 생각하고 행동하기 마련이다.
2,각광,우리 회사의 제품이 해외 시장에서 __을 받기 시작했다.
3,각오,상대편의 기술과 조직력이 좋다는 얘기를 듣고 __를 단단히 했다.
4,갈등,이 드라마는 고부간의 __을 지혜롭게 풀어내서 많은 사랑을 받았다.
5,갈피,그 사람은 왜 그러는지 도무지 __를 잡을 수가 없었다.
6,개발,인류는 미래를 위해서 새로운 대체 에너지를 __에 힘써야 한다.
7,거리낌,마음에 조금의 __도 없이 솔직하게 털어 놓았다.
8,걸림돌,너의 그런 낡은 사고방식은 회사의 발전에 __이 될 뿐이다.
9,결손,연예계에서는 __ 가정 자녀들을 위한 자선 파티를 열 예정이다.
10,결실,성실하게 살아오신 부모님 덕분에 자식들도 성공의 __을 맺었다.
11,결핍,그것은 애정이 __된 아이들에게 공통적으로 나타나는 증상이다.
12,경쟁,이곳에 모인 사람들은 100 대 1의 치열한 __을 뚫고 온 사람들이다.
13,계기,이번 일을 __로 삼아 더욱 열심히 노력해야 한다.
14,궁핍,빈곤과 __에 처했을 때 비로소 자신의 진짜 모습을 발견하게 된다.
15,궤변,이제 그런 엉터리 같은 __은 그만 늘어놓았으면 좋겠다.
16,균형,우리나라는 __ 있는 발전을 통해 고도의 경제 성장을 이루었다.
17,극적,헤어졌던 가족이 30년 만에 __으로 상봉했다.
0,조화,그 연극은 무대 장치와 등장인물의 __가 뛰어났다.
1,주목,우리는 그 점에 각별히 __해야 한다.
2,중앙,사무실 __에 회의용 탁자를 놓았다.
3,지렛대,그들은 옆에 있던 나무를 __로 삼아 차를 들어 올렸다.
4,지름길,권력이란 사람을 철저하게 타락시키는 __이다.
5,질적,이 사람은 __으로 우리와 다른 사람이다.
6,참모습,이번 행사는 자기 자신의 __을 볼 수 있는 기회가 될 것이다.
7,출신,그녀는 재벌가 __의 남자와 결혼했다.
8,토대,현대는 과학과 기술을 __로 한 거창한 기계 문명의 시대다.
9,통념,예술가는 천부의 자질이 있어야 한다는 것이 __이다.
10,핑계,그는 바쁘다는 __로 모임에 참석하지 않았다.
11,형편,그는 세상 돌아가는 __을 잘 안다.
12,호감,그녀의 얼굴은 다른 사람에게 쉽게 __을 주는 형이었다.
13,화합,그는 성격이 좋아서 어느 자리에서나 다른 사람과 잘 __된다.
14,화해,우리 이제 그만 싸우고 __합시다.
15,확장,도서관의 __으로 많은 학생들이 편리하게 공부할 수 있게 되었다.
16,환심,고객의 __을 사기 위하여 온갖 지혜를 다 짜내고 있다.
