약	medicine
한약	oriental liquid medicine; herb tea
영양제	nutrition supplements
소화제	Digestive medicine
진통제	painkiller
안약	eye drops
수면제	sleeping pill, sleeping tablet
반창고	adhesive bandage
효과	effects, effectiveness
부작용	reaction,side effect
처방전	prescription
외과	surgery
성형외과	plastic surgery
정형외과	orthopedics
안과	ophthalmology
소아과	pediatrics, pediatry
이비인후과	colds office
산부인과	obstetrics and gynecology
피부과	dermatology
정신과	Psychiatry
한의원	Chinese medical doctor’s office
응급실	emergency room
의료보험	health insurance
진찰	a medical examination
검사	an examination, an inspection
치료	medical treatment
수술	Surgery
입원	Hospitalization
퇴원하다	to be discharged from a hospital
환자	medical patient
혈액형	blood type
체온	body temperature
혈압	blood pressure
고혈압	high blood pressure, hypertension
저혈압	low blood pressure
신장	kidney
체중	Body weight (not 몸..)
소독하다	to disinfect
예방하다	To protect, prevent, fend off
주사를 맞다	to get a shot
침을 맞다	to get acupunctured
걸리다	To spend (time) / to get sick
회복하다	to recover
임신하다	To be pregnant
낳다	to produce; give birth
바르다	to apply
낫다	to be better, preferable
치과	a dentist
내과	department of internal medicine
