살	flesh, fat
뼈	bone
심장	heart
뇌	brain
피	blood
피부	skin
간	a liver
폐	lung
신장	kidney
손목	wrist
발목	ankle
손가락	finger
발가락	toe
손톱	fingernails
발톱	toenail
머리카락	hair
배꼽	belly button
점	a mole
턱	Chin
건강	health
감기	a cold
독감	influenza
배탈	Stomachache
식중독	food-poisoning
두통	(literal) headache
치통	toothache
생리통	cramps
멀미	motion sickness
당뇨병	diabetes
암	cancer
기침	a cough, coughing
열	fever
땀	sweat, perspiration
눈물	a tear
콧물	a runny nose
코피	nosebleed
하품	a yawn
설사	diarrhea
재채기	a sneeze
딸꾹질	Hiccup
충치	tooth decay
상처	a wound
여드름	acne
붓다	to swell, bloat
가렵다	to be itchy, to feel itchy
토하다	To vomit
어지럽다	dizzy
살이 빠지다	to lose weight
다치다	to be injured or hurt
데다	to burn oneself
체하다	to have upset stomach (not 배...)
베이다	to be cut, to get a cut on (e.g. your hand)
삐다	to dislocate
부러지다	to break
위	stomach
병	an illness, disease
살찌다	to gain weight
썩다	to have a tooth ache
