유창하다	fluent (능숙하다/유려하다)
유해하다	harmful (해롭다)
유효하다	valid
이롭다	beneficial/advantageous (유익하다)
익살스럽다	comical (우습다/희극적이다)
인색하다	stingy/cheap (야박하다/쩨쩨하다/쫀쫀하다)
자유분방하다	freewheeling
자잘하다	very small (조막만하다/자디잘다/지소하다)
잔인하다	cruel (잔혹하다/악랄하다/무정하다/무자비하다/잔악하다)
잔잔하다	still (조용하다/잠잠하다/고요하다)
장엄하다	majestic (웅장하다/씩씩하다/엄숙하다)
잦다	frequent (빈번하다/흔하다)
저조하다	low/dull/poor/sluggish (낮다/나직하다/저질의)
적막하다	silent/lonely (잔잔하다/잠잠하다/고요하다/쓸쓸하다)
적잖다	more than a few (상당하다)
적절하다	proper (ᄌ ᄌᄒᄃ)
적합하다	suitable (걸맞다/알맞다/적절하다/마땅하다)
절친하다	intimate (친밀하다/긴밀하다/밀접하다)
점잖다	gentle (순하다/온순하다)
정겹다	affectionate (살갑다/다정하다/자애 깊다/애정 넘치다)
정교하다	exquisite (세밀하다/정밀하다)
정당하다	right (공정하다/바르다)
정성스럽다	sincere (진정하다/진실되다/성실하다/신실하다)
정정당당하다	fair (당당하다/떳떳하다)
정직하다	honesty (바르다/곧다/진솔하다/솔직하다)
조급하다	impatient (성급하다)
조밀하다	dense (빽빽하다/울창하다/밀집하다/촘촘하다)
조촐하다	simple (ᄌᄎᄒᄃ/단정하다/단수하다/깨끗하다)
주도면밀하다	scrupulous/careful (빈틈없다/용의주도하다)
즐비하다	stand in a row
