가까스로	barely/narrowly (겨우/간신히/근근이)
간신히	barely/narrowly (겨우/가까스로/근근이)
간절히	earnestly/eagerly/ardently/sincerely (절실히)
간혹	sometimes/occasionally/(every) once in a while/at times/from time to time (가끔/어쩌다가/때때로/이따금)
갓	fresh/brand-new/spick-and-span/just now (방금/처음)
거듭	again/once again/once more/repeatedly (끊임없이/재차/자꾸/연거푸)
거침없이	without reserve (술술)
겨우	barely/narrowly (가까스로/간신히/근근이)
결코	never (결단코/아예/절대로) (____ + 부정문)
고스란히	with nothing missed/intact/undamaged (온전히/그대로)
고요히	quietly (조용히/고요히/살짝/평온하게/얌전하게)
고이	carefully (편안히/정성스레)/calmly/beautifully (곱게)
고작	only/just/barely/no more than/at (the) most (겨우/기껏해야)
곧잘	quite[pretty, fairly] well (제법 잘) easily/often (쉽사리/자주)
공연히	unnecessarily/needlessly/uselessly/(formal) to no purpose (꽨히/쓸데없이)
구태여	intentionally/on purpose/deliberately (굳이/일부러)
그나마	even so/still/nevertheless/however (그것이나마/그것마저도)
그다지	so/that ( ___ + 부정문)
그야말로	simply/really/indeed/truly/literally (참으로/그냥/정말로)
근근이	barely/narrowly/with difficulty (간신히/겨우/가까스로/고작)
금세	soon/shortly/any minute (순식간에/금방/어느새)
급격히	rapidly/sharply (빠르게/심하게)
급작스레	suddenly (갑자기/급히)
기껏	at most/at best (고작/겨우/기껏해야)
기껏해야	only/at (the) most/at (the) best (기껏/고작/겨우)
기왕이면	if it is done (이왕이면)
기필코	surely/certainly/assuredly/undoubtedly/without fail (기어이/반드시)
꼼짝없이	with no way out/without any measn
꽉	tightly/fast(세게/단단히/꼭)/fully (가득)
꽤나	quite (꽤/곧잘)
