속담	Proverb
등잔 밑이 어둡다	We don't know what is going on right in front of us
바늘 가는 데 실 간다	To be inseparably related
꿩 먹고 알 먹기	Doing one task can bring two benefits
호랑이도 제 말 하면 온다	Talk of the devil and he will appear
발 없는 말이 천 리를 간다	Bad news travels fast
번갯불에 콩 구워 먹는다	Haste does not always equal quality
떡 본 김에 제사 지낸다	Whilst I am at it, I might as well do this too
닭 소 보듯  소 닭 보듯 한다	Mooning over each other, but pretending not to
열 길 물속은 알아도 한 길 사람 속은 모른다	People are unpredictable
열 번 찍어 안 넘어가는 너무 없다	Don't give up until you succeed
가는 날이 장날이다	Bad timing
백지장도 맞들면 낮다	2 hands are better than one
사공이 많으면 배가 산으로 간다	Too many cooks spoil the broth
가는 말이 고와야 오는 말이 곱다	Nice words for nice words
낫 놓고 기역자도 모른다	To not know A from B (to be ignorant)
남의 떡이 커보인다	The grass is greener on the other side of the fence
낮말은 새가 듣고 밤말은 쥐가 듣는다	Walls have ears
