가습기	humidifier
에어컨	air conditioner
전기 장판	electric mattress pad
제습기	dehumidifier
선풍기	electric fan
전기 히터	electric heater
학기 말	end of the semester
귀국하다	to return to one’s country
얼마 안 남다	not much is left
눈 깜짝할 사이에 시간이 지나갔어요	“Time passed in the blink of an eye.”
짐	luggage, things to take on a trip
전압이 안 맞다	the voltage doesn’t match
부피가 크다	to be bulky (the volume is big)
중고 물건	used items, second hand good
1인용	one person use
가로	width
세로	lengthwise (eg. ~ 쓰여 있다)
시간을 맞춰 놓고 자다	to set the time and go to sleep
저절로	by itself, automatically
꺼지다	to be turned off
전기 포트	electric kettle
크기	size
리터	litre
온도 조절 기능	temperature control function
저야 좋지요	“That sounds good to me.”
뚜껑이 잘 안 닫히다	the lid doesn’t close very well
세게 탁 치다	to tap firmly
모양	appearance, how something looks
감촉	texture, how something feels
길쭉하다	to be a little long on both ends
네모나다	to be in the shape of a square
둥글다	to be in the shape of a circle
세모나다	to be in the shape of a triangle
부드럽다	to be smooth, soft
푹신하다	to be cushiony
딱딱하다	to be firm, hard
비닐	plastic (ie. bags)
유리	glass
천	fabric
플라스틱	hard plastic
이만하다	to be this big
스탠드	desk lamp
서랍장	set of drawers
텀블러	tumbler
묘사하다	to describe (an object, scene)
잠이 안 깨다	to be groggy in the morning
아령	dumbbell
기대했던 것 이상으로 좋았어요	“It was even better than I expected.”
운동이 되다	to serve as exercise
알람이 울리다	the alarm goes off
30회	30 times
그런 게 있어요?	“I hadn’t heard of that before” (lit. Is there such a thing?)
길이	length
무게	weight
킬로그램	kilogram
잠이 깨다	to wake up
열쇠고리	keychain
콘센트	power outlet
플러그	plug
꽂다	to plug in
보관하다	to store
빼다	to pull out, remove
케이블	cable
손이 시리다	hands are cold
고생하다	to have a hard time, to suffer
즐겨 쓰다	to use frequently, to use a lot
아이디어 상품	novelty product
새해 결심	New Year’s resolution
일석이조	to kill two birds with one stone
작심삼일로 끝나다	a resolution is short-lived
담배를 끊다	to stop smoking
대표적이다	to be representative, to be a good example
올해	this year
멋지다	to be nice, to be wonderful
아침형 인간	early bird
소리를 내다	to make a sound
한 손에 쏙 들어오다	to fit right in one’s hand
양쪽	both sides
바퀴	wheel
이리저리	here and there, in various ways
고무	rubber (material)
부서지다	to break, to fall apart
제시간	the proper time, on time
변신하다	to transform into, to turn into
운동 도구	exercise tool
발목에 감다	to wrap around one’s ankle
실내 장식	interior decorating
휴대폰 꽂이	cellphone stand or holder
장난감	toy
활용하다	to make use of
금연	not smoking
몸에 해롭다	to be bad for one’s health
강력하다	to be strong, to be powerful
기침하다	to cough
재떨이	ashtray
폐	lungs
담뱃재를 떨다	to flick cigarette ash
구멍이 나다	there’s a hole (in something)
콜록콜록	cough cough!
쌓여 있다	to be stacked, to be piled up
서랍	a drawer (in a dresser)
의미를 두다	to find meaning in
추억하다	to remember (fondly)
심각하다	to be serious, to be severe
간직하다	to have, to keep
추억이 담겨 있다	to contain memories
늘어놓다	to spread out, to arrange
만지다	to touch, to feel (with one’s hands)
수첩	(pocket) notebook
가득	fully
적혀 있다	to be written
골동품	an antique
생생하다	to be vivid, to be lifelike
떠오르다	to come (to mind)
낙서	doodling, scribbling, graffiti
-는 재미에 빠지다	to be completely absorbed in V- (doing something)
물 건너간 것 같아요	“so much for (something)” (used when one’s plans are frustrated)
